Time,Epoch,Fp1,FP2,F3,Fz,F4,T7,C3,Cz,C4,T8,P3,Pz,P4,PO7,PO8,Oz,Event Id,Event Date,Event Duration
0.315999999,9,-68.12468477,-39.11826569,-65.98336275,-51.51092219,-53.08122847,-46.00488601,-49.73197428,-49.44061987,-49.49953218,-17.67814552,-13.57636815,-40.41833473,-26.9580504,-71.44967726,8.638041347,-46.31252299,,,
0.319999999,10,-70.16697444,-45.57377193,-71.55197288,-51.08676198,-49.1795433,-54.53324796,-58.47826294,-54.94341093,-56.40126662,-21.8762851,-15.29077505,-43.85781102,-31.17583725,-70.85273927,8.401612355,-51.57957241,,,
0.323999999,10,-72.08007633,-50.57524163,-76.84139346,-51.57348842,-45.80257999,-62.10493894,-65.16230145,-59.34287909,-62.21647287,-26.74139475,-18.26677361,-48.28302117,-35.4406291,-70.83670967,7.832459267,-56.36315048,,,
0.327999999,10,-73.45997921,-52.68405794,-79.8294558,-52.22710828,-42.3613142,-66.91384302,-68.72261334,-62.28199968,-66.14065471,-31.12417677,-21.19431017,-52.3047243,-38.92970188,-70.12412878,7.420006151,-59.37578652,,,
0.331999999,10,-73.80862599,-51.45074111,-79.23913282,-52.34812512,-38.43649094,-67.95648913,-69.05279037,-63.93046495,-68.01657038,-33.94141738,-22.87420476,-54.91632314,-41.24973475,-67.66071163,7.635927794,-59.85120384,,,
0.335999999,10,-72.80985285,-47.84299191,-75.27911223,-51.97696948,-34.14374998,-65.4970581,-66.91890787,-64.55094274,-68.26414319,-34.85372693,-23.05123077,-56.14301515,-42.77249641,-63.53225377,8.667722432,-57.96159514,,,
0.339999999,10,-70.36118238,-43.89797537,-69.4215143,-51.96185824,-29.95608018,-60.99662425,-63.54914668,-64.25189062,-67.45096954,-34.3294545,-22.4916751,-56.82744463,-44.25608907,-58.87269182,10.36992656,-54.47859844,,,
0.343999999,10,-66.29898773,-41.35279282,-63.16201398,-52.92269285,-26.0347181,-56.34195514,-60.00068141,-62.88275061,-65.72737377,-32.95831338,-21.90863482,-57.40905438,-45.7805632,-54.54256388,12.37440534,-49.70428563,,,
0.347999999,10,-60.25020705,-40.29063018,-56.80116329,-54.06814346,-21.79860877,-52.71090939,-56.55944059,-59.97157183,-62.61884534,-30.70576295,-20.79227337,-56.85654568,-46.11646371,-49.94365829,14.2958629,-42.83218066,,,
0.351999999,11,-52.0243282,-39.34097816,-49.53957764,-53.41263292,-16.43378129,-50.00182285,-52.73273162,-54.9806883,-57.54372323,-27.09218306,-17.65018124,-53.177962,-43.52100912,-43.4765933,15.97111982,-32.73220302,,,
0.355999999,11,-42.33517996,-37.44002592,-40.92853222,-49.50580305,-10.04584407,-47.37423793,-48.07964758,-48.04360785,-50.75572028,-22.28311388,-11.65805883,-45.35564253,-37.43070643,-34.35095087,17.54091909,-19.52299772,,,
0.359999999,11,-33.09750118,-35.30528815,-32.07845344,-42.89966853,-4.19327849,-44.19122963,-43.09514677,-40.50896355,-43.73249368,-17.66612715,-3.906224092,-34.75494119,-29.32926169,-23.76407712,19.21399343,-5.164481569,,,
0.363999999,11,-26.71736537,-35.02597528,-25.13384338,-35.75404685,-1.014438518,-40.39213996,-39.07147521,-34.40085371,-38.4133829,-14.89211515,3.246414002,-24.42476461,-21.82459018,-14.08601931,20.91043588,7.697830705,,,
0.367999999,11,-24.74610189,-38.2885364,-21.60529716,-30.14709174,-1.812679405,-36.43980793,-37.09307965,-31.11269382,-36.034386,-14.5765335,7.92317022,-17.05080693,-16.95567177,-7.021309908,22.21439323,17.36388999,,,
0.371999999,11,-27.0543147,-45.13212738,-21.44514622,-26.92297688,-6.558418135,-33.3176122,-37.33952451,-30.67488717,-36.73004777,-16.45574597,9.660123066,-13.60215405,-15.41273192,-2.729139548,22.73933356,23.60012903,,,
0.375999999,11,-32.26334292,-54.29187354,-23.51970743,-25.81943813,-14.45358279,-32.24758515,-39.21921658,-32.19075323,-39.89239579,-20.48147283,9.004818172,-13.44817019,-16.90009289,-0.405348182,22.48776143,27.10804335,,,
0.379999999,11,-39.02068834,-64.56245784,-26.50865357,-26.18413722,-24.57012004,-33.97461125,-41.88109107,-34.7175437,-44.5139712,-26.95664856,6.764399999,-15.17339181,-20.65382168,0.730760501,21.78341904,28.8600708,,,
0.383999999,12,-47.09193644,-75.93097554,-29.40119222,-27.527492,-36.01475402,-38.36933903,-44.67259903,-37.75287009,-49.40267558,-35.61846935,3.580443741,-17.35763043,-25.66760799,0.932029068,20.87866652,29.54719261,,,
0.387999999,12,-57.3031549,-89.41625651,-31.58625424,-29.61418247,-47.79828009,-44.67406823,-47.34181032,-41.14956203,-53.53696488,-45.14741836,-0.1536176,-19.06109777,-30.87503082,0.062533921,19.6965827,29.21145812,,,
0.391999999,12,-69.92229442,-105.3370532,-32.75935386,-32.078832,-58.66867764,-51.78432521,-49.81914174,-44.72013839,-56.3166925,-53.5829024,-4.003947726,-19.76754747,-35.27265471,-1.763352513,17.96493433,27.59365384,,,
