bq,Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,others1,others2
0,0.3533,-5554.4,-1572.7,-6339.9,-4311,1270.9,1718.3,-943,-1515.7,14331.5,2725.5,-6701.5,897.2,-340.9,166.2,1614.7,,
0,0.3567,-3402.8,-3116.8,-5705.3,-3835.5,3110.7,3865.7,2181,-3472.7,-5699.4,4438.4,-7244.6,2085.7,1143.7,2340.3,3949.1,,
0,0.36,-6680,-8431.2,-10106.6,-8504.3,7975.9,9156.4,7397.5,-8631.4,-45146.3,10124,-4728.5,6826.5,5304.2,6887.2,9174.9,,
2,0.3633,-12113,-12202.9,-15105.2,-13628,10997.2,12286.4,9458.7,-11829.3,-64698.7,14085.4,-1639.2,10376.6,7961.7,9247.7,12053.6,,
0,0.3667,-14260.6,-10650.7,-15667.5,-14064.6,9141.3,10111.1,6275.1,-9853.3,-44927.3,12346.4,-934.4,9176.6,6478.2,7053.2,9692.9,,
0,0.37,-10954.1,-5308.1,-11192,-9359.6,4248.6,4788.6,995.4,-4654.6,-5705.6,6623.9,-3089.2,4413.8,2400.3,2511,4435.6,,
0,0.3733,-5472.4,-1497.1,-6111.5,-4199.8,1199.4,1623.3,-1136.8,-1405.1,13670.3,2613.5,-5718.9,841.5,-125.5,188.3,1518,,
0,0.3767,-3271.5,-3013.6,-5466.5,-3725.1,3036.3,3764.6,1987.1,-3331.8,-6230.8,4301.2,-6064,2028.4,1457.1,2423.5,3837.8,,
0,0.38,-6531.6,-8333.6,-9869.2,-8388.2,7919,9059.4,7235.9,-8492.6,-45575.2,9982.9,-3755.2,6788.7,5551.8,6976.5,9060.5,,
0,0.3833,-11975.2,-12132.1,-14888.5,-13501.3,10959.6,12203.2,9358.8,-11714.2,-65118.2,13966.7,-1096.7,10361.4,8041.6,9279.4,11953.5,,
0,0.3867,-14139.5,-10601.2,-15473.4,-13924.5,9107.8,10040.9,6221.3,-9760.8,-45445.5,12258.4,-670,9166.5,6448.1,7027.5,9615.4,,
0,0.39,-10835.6,-5256.6,-10998.3,-9207.7,4204.2,4720.4,936.1,-4568,-6370.5,6550.1,-2739,4387,2418.6,2495,4374.5,,
0,0.3933,-5339.9,-1425.6,-5892.2,-4043.8,1143.9,1546.3,-1236.6,-1309.5,12906.7,2528.3,-5059.7,790.6,45,249,1459.9,,
0,0.3967,-3122.5,-2925.8,-5220.3,-3579.2,2982.7,3678,1867.9,-3225.7,-6985.6,4192.9,-5208.4,1965,1729.5,2558.9,3773.6,,
0,0.4,-6379.6,-8249.3,-9625.7,-8266.8,7879.3,8972.1,7159.2,-8385.3,-46229.4,9862.3,-3020.2,6730.2,5773.1,7114.7,8990.7,,
0,0.4033,-11836.4,-12066.8,-14683.2,-13409.1,10931.6,12123.4,9367.9,-11614.7,-65644.7,13855.1,-693.1,10313.5,8104.7,9346.3,11883.1,,
0,0.4067,-14015.8,-10550.1,-15315.1,-13849.9,9076.5,9967.3,6294.5,-9670.1,-45873.1,12165.6,-520.3,9119.5,6391.9,7015,9547.1,,
0,0.41,-10711.3,-5198.4,-10860.2,-9126.5,4156.2,4644.4,999,-4481.7,-6748.3,6465.7,-2583,4328.8,2385.5,2464.4,4307.3,,
0,0.4133,-5194.9,-1343.1,-5735.4,-3933,1080.5,1461.6,-1251.2,-1226.1,12528,2432.8,-4716.3,723.4,141.9,268.8,1393.4,,
0,0.4167,-2950.6,-2822.2,-5027.5,-3430.6,2919.4,3588.7,1769.8,-3151.2,-7422.6,4078,-4726.6,1908.2,1930.9,2639.2,3711.7,,
0,0.42,-6196.1,-8146,-9412.9,-8090.1,7831.7,8889.1,7032,-8327.5,-46785,9739.4,-2586.5,6703.4,5956.4,7202.6,8937.7,,
0,0.4233,-11664.2,-11984,-14480,-13222.9,10901.4,12053.8,9276.5,-11572.9,-66344.4,13743.9,-415.4,10316.6,8176.9,9381.7,11837.2,,
0,0.4267,-13863.5,-10488.7,-15134.3,-13667.5,9050.9,9907.3,6263.3,-9629.5,-46666.6,12075.8,-320.5,9128.5,6378.1,6989.5,9498.4,,
