bq,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,2.6933,0.60328,1.497,4.1247,0.60652,0.35009,1.8487,2.0431,0.78877,1.8038,0.85308,0.54379,1.3417,0.50629,0.56435,0.64895,0.3685,0.68691,1.3966,1.3515,0.94051,1.0971,1.9116,0.88419,0.79205,1.1437,1.1319,1.1811,1.0385,1.1378,0.82745,1.1794,1.3427,1.0851,1.4091,1.3905,0.82003,1.3911,0.4203,1.2641,0.77781,0.84605,0.70484,0.86823,1.011,1.3545,0.84067,0.99304,0.659,0.73197,0.68836,0.57504,1.1543,0.65599,1.4685,0.76166,0.46461,0.42286,0.71242,0.77258,0.14877,0.69445,0.19576,0.074076
1,4.2855,0.43208,1.3263,4.7273,0.64301,0.20226,0.7951,1.9046,0.51811,1.1284,0.46159,0.72467,0.43045,0.51629,0.39893,0.59585,0.36316,0.68618,1.3099,1.0855,1.0491,1.0765,1.3471,0.73537,0.86533,1.1977,1.0571,1.3137,0.93483,1.0603,0.89105,1.2291,1.214,1.0223,1.5931,1.3618,0.74812,1.3656,0.43564,1.2185,0.74302,0.86449,0.78738,0.82407,1.0735,1.235,0.97823,0.84633,0.65706,0.7718,0.54391,0.69581,2.534,0.41673,1.1847,0.58281,0.29535,0.47377,0.31262,1.5922,0.12749,0.40165,0.10412,0.072192
1,5.1283,0.46353,0.67521,5.6338,0.70986,0.34347,0.70322,0.65708,0.28543,0.99839,1.4324,1.0689,0.41778,1.0985,0.49602,0.97043,0.51983,0.78085,1.0254,1.2564,0.9864,1.1636,1.691,0.83505,0.92517,1.1359,0.99241,1.2731,1.1036,0.94168,0.98342,1.1226,1.0662,1.0546,1.4092,1.5065,0.7883,1.2537,0.52735,1.0084,0.77019,0.77723,0.67363,0.7333,1.2288,1.3205,0.97688,0.88644,0.68497,0.65963,0.83942,1.1249,1.7699,0.44569,0.82847,1.334,0.32096,0.32629,0.25824,2.1531,0.13906,0.82948,0.083117,0.052839
1,6.1256,0.99602,0.2166,3.679,0.50439,0.2905,0.4548,0.53792,0.5048,0.85028,5.175,1.6505,0.5753,2.584,0.49101,1.5454,0.74088,1.2442,1.0445,1.2252,1.277,1.2431,1.737,0.82679,0.89301,1.0775,1.1809,1.1607,0.91424,1.1752,0.88873,1.4443,1.2068,1.0298,1.4362,1.3451,0.97903,1.5036,0.50511,1.0796,0.77001,1.1077,0.70603,0.79793,1.2124,1.2816,1.1872,0.9136,1.1405,0.78347,0.89351,1.125,1.2744,0.6176,0.8921,1.3355,0.55666,0.34888,0.45997,0.69673,0.15397,0.50592,0.12135,0.058394
1,4.2953,0.39675,0.20901,1.8012,0.44326,0.80589,0.53858,1.3435,0.97942,0.26434,4.4009,1.7005,0.72216,1.4604,0.50521,1.4465,0.44158,1.0208,0.93362,1.1959,1.4455,1.0289,1.4398,0.85773,1.0091,1.1073,1.1166,1.3046,1.0919,0.98954,0.93603,1.3064,1.1092,1.0567,1.3861,1.6978,0.80391,1.3019,0.53238,1.0682,0.81858,0.89204,0.75582,0.74097,1.063,1.3558,1.0212,0.90415,0.93638,0.67801,0.91174,0.94044,0.79494,0.86634,0.58806,0.46449,0.42895,1.5535,0.38146,1.1383,0.15485,0.40432,0.17501,0.063055
1,2.7874,0.22141,0.1385,0.91827,0.63453,2.2473,0.41468,5.0017,0.99615,0.19799,1.6496,2.2307,0.37997,0.75456,0.44394,1.3641,0.40862,1.3926,1.2467,1.2741,0.96633,1.1138,1.509,0.90619,0.9175,1.0352,1.0108,1.2885,1.0444,1.0438,0.8756,1.1043,1.2045,1.2901,1.38,1.3722,0.85809,1.3664,0.47643,1.1777,0.77374,0.75204,0.8009,0.89984,1.0368,1.6896,1.0118,0.90662,0.73135,0.60666,0.71166,0.92618,0.42746,0.90946,0.37292,0.4312,0.32959,1.8295,0.37829,0.95135,0.14283,0.39285,0.11908,0.051542
1,2.0518,0.22752,0.15005,0.22444,0.65909,3.5698,1.3892,5.9737,0.48549,0.30271,1.1163,1.9125,0.54752,0.49275,0.74086,1.9544,0.47968,1.3693,1.0488,1.2274,1.0641,0.96803,1.2748,0.85371,0.90971,1.1455,1.2248,1.4033,0.92882,1.0837,0.98603,1.0391,1.2968,1.1328,1.4341,1.2818,0.72079,1.3216,0.48174,1.2327,0.77128,0.80973,0.72333,0.83122,1.1531,1.3931,1.1635,0.88402,0.76629,0.67632,0.59045,0.78795,0.66214,0.82547,0.55532,0.56374,0.28552,1.7447,0.46197,0.33168,0.15198,0.26409,0.096128,0.073962
1,1.2995,0.40963,0.2368,0.50064,0.31432,4.2537,2.4038,4.4093,0.46402,0.22866,1.0035,1.9156,0.46255,0.65875,0.44319,2.9658,1.1255,0.87166,1.0618,1.5812,1.0134,0.97082,1.652,0.96807,1.0677,1.2289,1.087,1.1814,1.0894,0.9247,0.86528,1.0903,1.2864,1.0747,1.4553,1.2511,0.77046,1.3283,0.38417,1.1976,0.71707,0.78189,0.75472,0.92336,1.1247,1.4526,0.84812,0.98368,0.71965,0.6768,0.51892,0.93905,0.6898,1.21,0.87006,0.60816,0.42407,1.3062,0.21503,0.6043,0.15426,0.35008,0.12038,0.10736
1,0.98732,1.3871,0.17904,1.1437,0.3751,1.9095,3.3158,1.8538,0.39627,0.23169,1.316,1.5699,0.35096,0.48599,0.56882,3.7586,1.093,0.74224,0.98996,1.1444,1.0151,1.0355,1.3836,0.69364,0.87989,1.0153,1.0714,1.3186,0.93058,1.0696,0.81502,1.2399,1.3853,1.0237,1.436,1.3712,0.87914,1.2638,0.42941,1.0374,0.7064,0.87589,0.65435,0.93301,1.0894,1.2517,1.0078,0.95152,0.79687,0.81496,0.60534,0.4672,0.90033,0.58474,0.38545,0.43233,0.43853,1.1058,0.17812,0.73663,0.1666,0.3867,0.12363,0.087284
1,1.3484,2.2965,0.48208,1.2582,0.2793,1.1126,2.0608,0.4252,0.87433,0.76549,2.0368,1.5711,1.0251,0.49967,0.77098,1.0563,2.1276,0.71755,1.0715,1.3191,0.96505,1.1439,1.7519,0.73584,0.88453,1.1013,1.0645,1.2548,0.96998,1.0524,0.91224,1.2056,1.2691,1.095,1.4262,1.4963,0.96602,1.4186,0.41428,1.1123,0.78642,0.82366,0.75907,0.91162,1.1899,1.5046,1.0398,0.91924,0.6803,0.82594,0.7763,0.56902,0.58786,0.70754,0.43488,0.38248,1.0386,2.5137,0.2933,0.76379,0.35652,0.35117,0.1958,0.08231
